,Zipcode,Property Type,Square Feet,Bedrooms,Bathrooms,Review Scores Rating,Accommodates,Amenities,Cleaning Fee,Cancellation Policy,Latitude,Longitude,Price
103590,97212,Cabin,128.0,1.0,1.0,97.0,2.0,"Cable TV,Wireless Internet,Air conditioning,Kitchen,Smoking allowed,Heating,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50",25.0,flexible,45.551410105225074,-122.6526799937588,75.0
103613,97212,House,925.0,2.0,1.0,97.0,4.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Pets allowed,Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer",35.0,flexible,45.549646789012286,-122.65796058553136,99.0
103621,97217,House,550.0,0.0,1.0,97.0,4.0,"TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Smoking allowed,Pets live on this property,Dog(s),Hot tub,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Smartlock,Private living room",45.0,flexible,45.58036418851015,-122.68814414661844,79.0
103701,94102,Apartment,1200.0,1.0,1.0,100.0,2.0,"Wireless Internet,Kitchen,Indoor fireplace,Essentials",80.0,moderate,37.77479775001232,-122.42711404907881,200.0
103702,94104,House,3000.0,3.0,2.5,100.0,8.0,"TV,Cable TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Pets allowed,Pets live on this property,Dog(s),Indoor fireplace,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace",80.0,flexible,37.786285281939946,-122.43309522191662,500.0
103736,94110,House,890.0,2.0,1.0,98.0,5.0,"Internet,Wireless Internet,Kitchen,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox,Private living room,Private entrance",90.0,strict,37.74667618161351,-122.41401384098492,212.0
103745,94110,Apartment,140.0,1.0,1.5,98.0,2.0,"Wireless Internet,Kitchen,Heating,Washer,Dryer,Self Check-In,Lockbox",20.0,moderate,37.74556736984753,-122.41187307695988,90.0
103841,95003,House,4000.0,1.0,2.5,95.0,10.0,"TV,Wireless Internet,Kitchen,Free Parking on Premises,Pets Allowed,Pets live on this property,Dog(s),Cat(s),Other pet(s),Family/Kid Friendly,Suitable for Events,Washer,Dryer",65.0,moderate,37.00391676428708,-121.9107379782388,95.0
103859,98199,House,250.0,1.0,1.0,100.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Pool,Kitchen,Free Parking on Premises,Breakfast,Indoor Fireplace,Heating,Washer,Dryer,Smoke Detector,Carbon Monoxide Detector,First Aid Kit,Safety Card,Fire Extinguisher,Essentials,Shampoo",50.0,strict,47.65513058500851,-122.40781766552021,75.0
103861,98101,Apartment,500.0,1.0,1.0,96.0,2.0,"TV,Cable TV,Internet,Wireless Internet,Air Conditioning,Wheelchair Accessible,Pool,Kitchen,Doorman,Gym,Elevator in Building,Hot Tub,Buzzer/Wireless Intercom,Heating,Washer,Dryer,Smoke Detector,Fire Extinguisher,Essentials,Shampoo,24-Hour Check-in,Hangers,Hair Dryer,Iron,Laptop Friendly Workspace",75.0,strict,47.61551227179511,-122.33728601913258,120.0
